,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,
1170,12745,12766,538099,538120,1974.81261108206,1974.84177814692,278.211442073545,8.29893971248716,0.356732487678528,0.02916706486235,17918,2.00909291588572,0.05837751373235,1.4010603295764,334810574,24,I,0.499628418505035,
1785,965,1010,92310,92355,1355.66907421806,1355.73157481042,837.87362000115,14.0730396097202,0.243963241577148,0.06250059236163,18018,2.1194407081878,0.078927551013555,1.89426122432532,332519883,2,SSO,0.791872946252902,
1024,10979,10987,103559,103567,1371.29272930806,1371.30384026277,124.068462845653,2.42808640999573,0.395308613777161,0.01111095471947,18018,8.01874184785082,0.057570892467218,1.38170141921323,332517282,2,I,0.19299604788647,
2093,17513,17531,481957,481975,1896.83958981178,1896.86459033089,242.203510272646,9.35211022184047,0.212463855743408,0.025000519107607,18036,2.21999182219163,0.064591251765505,1.55019004237213,320524973,21,I,0.387057355667452,
1382,7371,7386,314673,314688,1664.50608301061,1664.52691659443,169.185449621016,2.72734655360443,0.308492302894592,0.020833583825152,19283,2.18664973518801,0.110803734545503,2.65928962909208,319739812,13,I,0.188022397535675,
2034,2718,2730,309979,309991,1657.98653936944,1658.00320634053,118.686514849781,2.49292385814845,0.217909216880798,0.01666697108908,19283,2.18664973518801,0.110803734545503,2.65928962909208,319739812,13,I,0.150418856886412,
489,15752,15764,440899,440912,1839.81924901267,1839.83730387938,212.0962792566,1.43885679340627,0.706112146377564,0.018054866716284,16495,2.40376769772684,0.117097010821615,2.81032825971876,316627328,19,I,0.154187255418404,
1254,1163,1173,229540,229550,1546.26617035205,1546.28005921707,94.510023297647,1.17249053166785,0.335538268089294,0.013888865022864,15303,2.61173861307613,0.065173275450137,1.56415861080329,308776238,9,I,0.213106751608489,
999,7295,7352,571183,571242,2020.76863419702,2020.85057878373,939.178119122664,7.96480463271495,0.406330585479736,0.081944586715054,16643,2.27987093274432,0.074884276275148,1.79722263060355,308358603,26,norot,1.09428294952019,margin
868,1379,1390,507492,507503,1932.30990166445,1932.3251799171,171.719113998984,3.28998541132125,0.454081892967224,0.015278252657254,13203,2.00159278717513,0.074719793477151,1.79327504345163,307789889,23,I,0.204473967957714,
282,10578,10597,202165,202184,1508.24493575884,1508.2713249776,940.180992555474,11.7356402123047,1.09387850761414,0.026389218757004,16063,2.21078413882387,0.076551026960349,1.83722464704837,307706586,7,I,0.344727168332735,
2188,9290,9303,81005,81018,1339.96813417388,1339.98618961049,152.873234726437,2.80179397388769,0.203958511352539,0.018055436612485,17795,2.46864981662654,0.051809484816523,1.24342763559656,302376679,1,I,0.34849674102003,
1012,160,173,405818,405831,1791.09614242882,1791.11419825708,169.392821701843,2.8074856355503,0.400207996368408,0.018055828267734,14540,2.24456729803162,0.082073062588403,1.96975350212168,301102220,18,sys,0.219997008741883,
1114,17413,17420,170199,170206,1463.84275444607,1463.85247673756,131.107468618279,9.13041151919965,0.369015693664551,0.009722291496473,17577,2.1424150815646,0.063872647266024,1.53294353438457,300037002,5,sys,0.152213692599596,
2127,2513,2544,116814,116845,1389.70253392373,1389.74559022078,214.754410890297,2.4162248034438,0.209121465682983,0.043056297048906,13153,3.17436953774619,0.132744158874682,3.18585981299237,299178185,3,I,0.324355492655263,
1667,4715,4731,489489,489505,1907.30285269865,1907.3250748404,132.178625189174,1.8496568874613,0.258719444274902,0.022222141746624,16155,4.91492448426444,0.143670738197599,3.44809771674238,298160985,22,I,0.154674097352104,
309,12909,12969,343218,343278,1704.14516275608,1704.22849540464,1276.2300556701,4.92674687591984,1.03079986572266,0.083332648560827,15642,3.43405344516276,0.287316982213699,6.89560757312877,298160985,14,complex shape,0.290037323651292,
287,6579,6621,121858,121901,1396.70403260147,1396.76375528253,862.668089630945,3.55999754939272,1.08490610122681,0.059722681052108,13153,2.30306484460151,0.154620628905013,3.7108950937203,293164461,3,I,0.386252995315373,
